mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-63.8,124.9,20/25,35,180,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-35
-63.8,124.9,20/25,40,185,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-40
-63.8,124.9,20/25,45,190,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-45
-52.6,176.0,25/30,50,195,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-50
-52.6,176.0,25/30,30,175,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-30
-52.6,176.0,25/30,35,180,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-35
-52.6,176.0,25/30,40,185,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-40
-52.6,176.0,25/30,45,190,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-45
-67.6,135.3,25/30,50,195,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-50
-67.6,135.3,25/30,30,175,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-30
-67.6,135.3,25/30,35,180,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-35
-67.6,135.3,25/30,40,185,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-40
-67.6,135.3,25/30,45,190,145,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-45
-57.9,176.0,30/37,50,195,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.5-100-50
-57.9,176.0,30/37,30,175,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-30
-57.9,176.0,30/37,35,180,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.0-100-35
-57.9,176.0,30/37,40,185,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-18.5-100-40
-57.9,176.0,30/37,45,190,145,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-19.0-100-45
